 Eje ; Sigma Shell (Pa) ; Sigma bar min (Pa) ; Sigma bar max (Pa) ; MoSy ; MoSu 
 X ; 145.000.000,00 ; 221.000.000,00 ; 22.300.000,00 ; 0,27 ; 0,30 
 Y ; 145.000.000,00 ; 221.000.000,00 ; 22.300.000,00 ; 0,27 ; 0,30 
 Z ; 76.400.000,00 ; 139.000.000,00 ; 33.500.000,00 ; 1,02 ; 1,07 
