 Eje ; Sigma Shell (Pa) ; Sigma bar min (Pa) ; Sigma bar max (Pa) ; MoSy ; MoSu 
 X ; 14.700.000,00 ;-27.700.000,00 ; 27.700.000,00 ; 9,13 ; 9,40 
 Y ; 14.600.000,00 ;-27.700.000,00 ; 27.700.000,00 ; 9,13 ; 9,40 
 Z ; 11.900.000,00 ;-33.500.000,00 ; 29.100.000,00 ; 7,37 ; 7,60 
